,Hour,Day,Month,Electricity [MWh],PV [MWh],Price,Peak,CO2
99,3,5,January,0.03196797598473562,0.0,0.2187,Off-Peak,331.5728032812746
100,4,5,January,0.032288857452102776,0.0,0.2187,Off-Peak,327.143082505127
101,5,5,January,0.035898995178128015,0.0,0.2187,Off-Peak,327.79933743492666
102,6,5,January,0.08077248517644531,0.0,0.2324,Peak,334.5259504653731
103,7,5,January,0.08329722780206802,0.0,0.2324,Peak,366.02618709575637
104,8,5,January,0.10056961415056744,0.0,0.2324,Peak,380.62785928379867
105,9,5,January,0.0722152541670224,0.0,0.2324,Peak,382.10443287584786
106,10,5,January,0.06385747762306998,0.0,0.2324,Peak,376.69032970500086
107,11,5,January,0.06240674853299824,0.0,0.2324,Peak,375.5418835778514
108,12,5,January,0.09907195649332866,0.0,0.2324,Peak,377.18252090235046
109,13,5,January,0.06716174218534486,0.0,0.2324,Peak,372.424672661303
110,14,5,January,0.0549253588721212,0.0,0.2324,Peak,377.18252090235046
111,15,5,January,0.05576241326960989,4.369389462126703e-05,0.2324,Peak,388.0107272440448
112,16,5,January,0.05661712593597296,0.0,0.2324,Peak,403.9249092916864
113,17,5,January,0.06373570446122423,0.0,0.2324,Peak,425.9094494399748
114,18,5,January,0.09814540497544916,0.0,0.2324,Peak,448.2221170531629
115,19,5,January,0.12872489656564476,0.0,0.2324,Peak,460.8550244518063
116,20,5,January,0.06846711760461721,0.0,0.2324,Peak,463.3159804385549
117,21,5,January,0.06047834664209729,0.0,0.2324,Peak,458.23000473260765
118,22,5,January,0.04478825525967746,0.0,0.2324,Peak,450.19088184256185
119,23,5,January,0.03841783878878173,0.0,0.2187,Off-Peak,427.22195929957405
120,0,6,January,0.03931009386026817,0.0,0.2187,Off-Peak,396.54204133144026
121,1,6,January,0.035448506371311334,0.0,0.2187,Off-Peak,363.40116737655785
122,2,6,January,0.03564780037847304,0.0,0.2187,Off-Peak,345.35415680706734
123,3,6,January,0.036597733810083896,0.0,0.2187,Off-Peak,331.5728032812746
124,4,6,January,0.036607033976319286,0.0,0.2187,Off-Peak,327.143082505127
