,Hour,Day,Month,Electricity [MWh],PV [MWh],Price,Peak,CO2
2407,7,101,April,0.06633951130139314,0.1236618908772038,0.2324,Peak,366.02618709575637
2408,8,101,April,0.09393101477404008,0.18567231526418485,0.2324,Peak,380.62785928379867
2409,9,101,April,0.0714415334488617,0.2276836656367129,0.2324,Peak,382.10443287584786
2410,10,101,April,0.07009486541624192,0.256099470041922,0.2324,Peak,376.69032970500086
2411,11,101,April,0.06949590008834522,0.26331810151074964,0.2324,Peak,375.5418835778514
2412,12,101,April,0.09877276480462112,0.2542031988803622,0.2324,Peak,377.18252090235046
2413,13,101,April,0.072572455637105,0.23429768051841035,0.2324,Peak,372.424672661303
2414,14,101,April,0.07103430805980293,0.1910516161800025,0.2324,Peak,377.18252090235046
2415,15,101,April,0.06399216004757051,0.14156774760181506,0.2324,Peak,388.0107272440448
2416,16,101,April,0.05959717024125043,0.08547692645856163,0.2324,Peak,403.9249092916864
2417,17,101,April,0.058222529915052675,0.03584169401535812,0.2324,Peak,425.9094494399748
2418,18,101,April,0.09410472286782197,0.0013201805760683133,0.2324,Peak,448.2221170531629
2419,19,101,April,0.1272058261977574,0.0,0.2324,Peak,460.8550244518063
2420,20,101,April,0.05901213981651375,0.0,0.2324,Peak,463.3159804385549
2421,21,101,April,0.0558809731974176,0.0,0.2324,Peak,458.23000473260765
2422,22,101,April,0.0402751384233775,0.0,0.2324,Peak,450.19088184256185
2423,23,101,April,0.032681613965341486,0.0,0.2187,Off-Peak,427.22195929957405
2424,0,102,April,0.029207425191980975,0.0,0.2187,Off-Peak,396.54204133144026
2425,1,102,April,0.025505469058783557,0.0,0.2187,Off-Peak,363.40116737655785
2426,2,102,April,0.026690764070676182,0.0,0.2187,Off-Peak,345.35415680706734
2427,3,102,April,0.02668807700985389,0.0,0.2187,Off-Peak,331.5728032812746
2428,4,102,April,0.025976589303431868,0.0,0.2187,Off-Peak,327.143082505127
2429,5,102,April,0.03066230814135237,0.0,0.2187,Off-Peak,327.79933743492666
2430,6,102,April,0.06237388718314645,0.05396347990183717,0.2324,Peak,334.5259504653731
2431,7,102,April,0.06828835662928984,0.1161525988999576,0.2324,Peak,366.02618709575637
2432,8,102,April,0.09320009674481823,0.184957660274936,0.2324,Peak,380.62785928379867
2433,9,102,April,0.0717715220863065,0.18972493406749635,0.2324,Peak,382.10443287584786
2434,10,102,April,0.06955819849813115,0.129909954176062,0.2324,Peak,376.69032970500086
2435,11,102,April,0.0692635939585457,0.13155552915271634,0.2324,Peak,375.5418835778514
2436,12,102,April,0.1035741402582399,0.20206823250278966,0.2324,Peak,377.18252090235046
2437,13,102,April,0.07348655815154605,0.23237658319926194,0.2324,Peak,372.424672661303
2438,14,102,April,0.06991741403329935,0.1840296556828292,0.2324,Peak,377.18252090235046
2439,15,102,April,0.06378487767584097,0.10746513753445257,0.2324,Peak,388.0107272440448
2440,16,102,April,0.05881633493034319,0.02844495528567187,0.2324,Peak,403.9249092916864
2441,17,102,April,0.058223319245667676,0.014997690983959446,0.2324,Peak,425.9094494399748
2442,18,102,April,0.09496922928304452,0.0010885227388592457,0.2324,Peak,448.2221170531629
2443,19,102,April,0.12457428579680598,0.0,0.2324,Peak,460.8550244518063
2444,20,102,April,0.05848690494733265,0.0,0.2324,Peak,463.3159804385549
2445,21,102,April,0.05556783828066598,0.0,0.2324,Peak,458.23000473260765
2446,22,102,April,0.03963896271831465,0.0,0.2324,Peak,450.19088184256185
2447,23,102,April,0.032828671199456344,0.0,0.2187,Off-Peak,427.22195929957405
2448,0,103,April,0.02966793363914373,0.0,0.2187,Off-Peak,396.54204133144026
2449,1,103,April,0.02535931390417941,0.0,0.2187,Off-Peak,363.40116737655785
2450,2,103,April,0.02555539745837581,0.0,0.2187,Off-Peak,345.35415680706734
2451,3,103,April,0.026448969296636083,0.0,0.2187,Off-Peak,331.5728032812746
2452,4,103,April,0.0264826422358138,0.0,0.2187,Off-Peak,327.143082505127
2453,5,103,April,0.029982405375467213,0.0,0.2187,Off-Peak,327.79933743492666
2454,6,103,April,0.06078205501189263,0.004322990974701478,0.2324,Peak,334.5259504653731
2455,7,103,April,0.0667890437104995,0.029890725219939025,0.2324,Peak,366.02618709575637
2456,8,103,April,0.08254198108732587,0.15801040743548386,0.2324,Peak,380.62785928379867
2457,9,103,April,0.056936372218824326,0.21345414696839274,0.2324,Peak,382.10443287584786
2458,10,103,April,0.049916013550798506,0.13657991231258107,0.2324,Peak,376.69032970500086
2459,11,103,April,0.053920086897723415,0.2627877952238213,0.2324,Peak,375.5418835778514
2460,12,103,April,0.09118281855249744,0.2641294480918645,0.2324,Peak,377.18252090235046
2461,13,103,April,0.060495568956846775,0.24145070340035305,0.2324,Peak,372.424672661303
2462,14,103,April,0.04665908506286103,0.19496088344708892,0.2324,Peak,377.18252090235046
2463,15,103,April,0.04584553415562352,0.14550910222361346,0.2324,Peak,388.0107272440448
2464,16,103,April,0.04562654252123684,0.07756704006910622,0.2324,Peak,403.9249092916864
2465,17,103,April,0.054278027774379886,0.012591854315333495,0.2324,Peak,425.9094494399748
2466,18,103,April,0.09212033316343868,0.002658762543106023,0.2324,Peak,448.2221170531629
2467,19,103,April,0.12345460781515462,0.0,0.2324,Peak,460.8550244518063
2468,20,103,April,0.05791779800883452,0.0,0.2324,Peak,463.3159804385549
2469,21,103,April,0.057012401583418276,0.0,0.2324,Peak,458.23000473260765
2470,22,103,April,0.0412194479170914,0.0,0.2324,Peak,450.19088184256185
2471,23,103,April,0.03329532498131159,0.0,0.2187,Off-Peak,427.22195929957405
2472,0,104,April,0.03388444290859667,0.0,0.2187,Off-Peak,396.54204133144026
2473,1,104,April,0.029827841603805638,0.0,0.2187,Off-Peak,363.40116737655785
2474,2,104,April,0.029891370757730205,0.0,0.2187,Off-Peak,345.35415680706734
2475,3,104,April,0.0306089524362895,0.0,0.2187,Off-Peak,331.5728032812746
2476,4,104,April,0.03065066246007475,0.0,0.2187,Off-Peak,327.143082505127
2477,5,104,April,0.033896030805300716,0.0,0.2187,Off-Peak,327.79933743492666
2478,6,104,April,0.0611301617261298,0.02079399222466183,0.2324,Peak,334.5259504653731
2479,7,104,April,0.04468718953448862,0.11311797858760506,0.2324,Peak,366.02618709575637
2480,8,104,April,0.06343231488277268,0.17330018336689004,0.2324,Peak,380.62785928379867
2481,9,104,April,0.0315123462453279,0.20541902163149228,0.2324,Peak,382.10443287584786
2482,10,104,April,0.022770883003737682,0.17401986610910075,0.2324,Peak,376.69032970500086
2483,11,104,April,0.022901664281345567,0.20721976174518095,0.2324,Peak,375.5418835778514
2484,12,104,April,0.05548997326537547,0.1614966243573437,0.2324,Peak,377.18252090235046
2485,13,104,April,0.02737953357118587,0.1963970101957236,0.2324,Peak,372.424672661303
2486,14,104,April,0.021511922249405367,0.16549459885419462,0.2324,Peak,377.18252090235046
2487,15,104,April,0.02131129857288481,0.1427596376869897,0.2324,Peak,388.0107272440448
2488,16,104,April,0.02057166207271492,0.09217282784609472,0.2324,Peak,403.9249092916864
2489,17,104,April,0.02917640185524975,0.04533573985142607,0.2324,Peak,425.9094494399748
2490,18,104,April,0.060862608929663616,0.007473122735230602,0.2324,Peak,448.2221170531629
2491,19,104,April,0.09680511640502887,0.0,0.2324,Peak,460.8550244518063
2492,20,104,April,0.05007503533809039,0.0,0.2324,Peak,463.3159804385549
2493,21,104,April,0.04364056536187564,0.0,0.2324,Peak,458.23000473260765
2494,22,104,April,0.037098389582059126,0.0,0.2324,Peak,450.19088184256185
2495,23,104,April,0.03401390386680258,0.0,0.2187,Off-Peak,427.22195929957405
2496,0,105,April,0.02894528632687734,0.0,0.2187,Off-Peak,396.54204133144026
2497,1,105,April,0.02551402540265036,0.0,0.2187,Off-Peak,363.40116737655785
2498,2,105,April,0.02670241507985049,0.0,0.2187,Off-Peak,345.35415680706734
2499,3,105,April,0.02670419177030241,0.0,0.2187,Off-Peak,331.5728032812746
2500,4,105,April,0.0259944586816174,0.0,0.2187,Off-Peak,327.143082505127
2501,5,105,April,0.03000957332653755,0.0003696700590791647,0.2187,Off-Peak,327.79933743492666
2502,6,105,April,0.061627755283724085,0.001456108515228531,0.2324,Peak,334.5259504653731
2503,7,105,April,0.06589162102616378,0.05703908905696881,0.2324,Peak,366.02618709575637
2504,8,105,April,0.08921465314305131,0.03676063630660261,0.2324,Peak,380.62785928379867
2505,9,105,April,0.07184227927285082,0.03962161793316831,0.2324,Peak,382.10443287584786
2506,10,105,April,0.07057291692150866,0.16967780469299973,0.2324,Peak,376.69032970500086
2507,11,105,April,0.06853882398912674,0.2036799611615714,0.2324,Peak,375.5418835778514
2508,12,105,April,0.0981194356235134,0.23259799538044354,0.2324,Peak,377.18252090235046
2509,13,105,April,0.07275988334352701,0.23057114959041494,0.2324,Peak,372.424672661303
2510,14,105,April,0.07279450426095821,0.186640355943508,0.2324,Peak,377.18252090235046
2511,15,105,April,0.06460862583078493,0.1451218935489674,0.2324,Peak,388.0107272440448
2512,16,105,April,0.05960011567787973,0.09086063791142483,0.2324,Peak,403.9249092916864
2513,17,105,April,0.058120109622833836,0.04486167189430998,0.2324,Peak,425.9094494399748
2514,18,105,April,0.09457568983350324,0.007710798644151739,0.2324,Peak,448.2221170531629
2515,19,105,April,0.12880359819911655,0.0,0.2324,Peak,460.8550244518063
2516,20,105,April,0.0594898223853211,0.0,0.2324,Peak,463.3159804385549
2517,21,105,April,0.056471484804621136,0.0,0.2324,Peak,458.23000473260765
2518,22,105,April,0.04022113170914033,0.0,0.2324,Peak,450.19088184256185
2519,23,105,April,0.033185433917770985,0.0,0.2187,Off-Peak,427.22195929957405
2520,0,106,April,0.029657156751614008,0.0,0.2187,Off-Peak,396.54204133144026
2521,1,106,April,0.025482956819571863,0.0,0.2187,Off-Peak,363.40116737655785
2522,2,106,April,0.026648678905878357,0.0,0.2187,Off-Peak,345.35415680706734
2523,3,106,April,0.026647572239211686,0.0,0.2187,Off-Peak,331.5728032812746
2524,4,106,April,0.025946570302412503,0.0,0.2187,Off-Peak,327.143082505127
2525,5,106,April,0.030422387257900106,3.809425360596014e-05,0.2187,Off-Peak,327.79933743492666
2526,6,106,April,0.06944708902480462,0.008896059892051639,0.2324,Peak,334.5259504653731
2527,7,106,April,0.06934781614678899,0.035769348234350795,0.2324,Peak,366.02618709575637
2528,8,106,April,0.09287201295276927,0.0373767924465353,0.2324,Peak,380.62785928379867
2529,9,106,April,0.07276856950050968,0.10366669559097982,0.2324,Peak,382.10443287584786
2530,10,106,April,0.07057006013591573,0.055810196107636136,0.2324,Peak,376.69032970500086
2531,11,106,April,0.06888423219164118,0.11656786431138898,0.2324,Peak,375.5418835778514
2532,12,106,April,0.10068612693849813,0.061983147870165366,0.2324,Peak,377.18252090235046
2533,13,106,April,0.07275142418620455,0.04372174664647558,0.2324,Peak,372.424672661303
2534,14,106,April,0.06980612732585796,0.05320480271899977,0.2324,Peak,377.18252090235046
2535,15,106,April,0.0636872292898403,0.07715122775256225,0.2324,Peak,388.0107272440448
2536,16,106,April,0.058138552422697935,0.05730884945161275,0.2324,Peak,403.9249092916864
2537,17,106,April,0.057628958817533125,0.010796857538957896,0.2324,Peak,425.9094494399748
2538,18,106,April,0.09555041552157664,0.0,0.2324,Peak,448.2221170531629
2539,19,106,April,0.12630303785932726,0.0,0.2324,Peak,460.8550244518063
2540,20,106,April,0.05901795952429492,0.0,0.2324,Peak,463.3159804385549
2541,21,106,April,0.05551935774379884,0.0,0.2324,Peak,458.23000473260765
2542,22,106,April,0.040775516697247716,0.0,0.2324,Peak,450.19088184256185
2543,23,106,April,0.032951320190282025,0.0,0.2187,Off-Peak,427.22195929957405
2544,0,107,April,0.02964857971457696,0.0,0.2187,Off-Peak,396.54204133144026
2545,1,107,April,0.025490545708460755,0.0,0.2187,Off-Peak,363.40116737655785
2546,2,107,April,0.02665522779476724,0.0,0.2187,Off-Peak,345.35415680706734
2547,3,107,April,0.026653003696907915,0.0,0.2187,Off-Peak,331.5728032812746
2548,4,107,April,0.025952527142371732,0.0,0.2187,Off-Peak,327.143082505127
2549,5,107,April,0.030409150615018688,0.0022677539021024023,0.2187,Off-Peak,327.79933743492666
2550,6,107,April,0.06507728744138634,0.02214347227317711,0.2324,Peak,334.5259504653731
2551,7,107,April,0.06761297490995583,0.09481727348603006,0.2324,Peak,366.02618709575637
2552,8,107,April,0.09319979794087667,0.06284212615365366,0.2324,Peak,380.62785928379867
2553,9,107,April,0.0721191699490316,0.15824388417282576,0.2324,Peak,382.10443287584786
2554,10,107,April,0.07004265520217462,0.23623167561312036,0.2324,Peak,376.69032970500086
2555,11,107,April,0.06979213244308527,0.03510256921429259,0.2324,Peak,375.5418835778514
2556,12,107,April,0.1018349321780496,0.08935105177445013,0.2324,Peak,377.18252090235046
2557,13,107,April,0.07356178721032959,0.05211739543228749,0.2324,Peak,372.424672661303
2558,14,107,April,0.06984797034318722,0.07836414036965364,0.2324,Peak,377.18252090235046
2559,15,107,April,0.06401739645259939,0.09798952981024957,0.2324,Peak,388.0107272440448
2560,16,107,April,0.05890870581039755,0.06523343654353021,0.2324,Peak,403.9249092916864
2561,17,107,April,0.05842399768943255,0.02469130164249617,0.2324,Peak,425.9094494399748
2562,18,107,April,0.09364804352701324,0.006627212679902522,0.2324,Peak,448.2221170531629
2563,19,107,April,0.12102227830784915,0.0,0.2324,Peak,460.8550244518063
2564,20,107,April,0.05789783291199456,0.0,0.2324,Peak,463.3159804385549
2565,21,107,April,0.05509530708120965,0.0,0.2324,Peak,458.23000473260765
2566,22,107,April,0.03950293383622154,0.0,0.2324,Peak,450.19088184256185
2567,23,107,April,0.03292173160040775,0.0,0.2187,Off-Peak,427.22195929957405
2568,0,108,April,0.029393279768943258,0.0,0.2187,Off-Peak,396.54204133144026
2569,1,108,April,0.025468719938837918,0.0,0.2187,Off-Peak,363.40116737655785
2570,2,108,April,0.026623208800543658,0.0,0.2187,Off-Peak,345.35415680706734
2571,3,108,April,0.0266274875637105,0.0,0.2187,Off-Peak,331.5728032812746
2572,4,108,April,0.025937375643900785,0.0,0.2187,Off-Peak,327.143082505127
2573,5,108,April,0.029724309826707443,0.010931126152243287,0.2187,Off-Peak,327.79933743492666
2574,6,108,April,0.05673982872579001,0.0032945169989505017,0.2324,Peak,334.5259504653731
2575,7,108,April,0.06686646039415563,0.11984114377962532,0.2324,Peak,366.02618709575637
2576,8,108,April,0.09178484846075434,0.19724722360266334,0.2324,Peak,380.62785928379867
2577,9,108,April,0.06939077790010194,0.2478425242634389,0.2324,Peak,382.10443287584786
2578,10,108,April,0.06825524478423375,0.2530346602360669,0.2324,Peak,376.69032970500086
2579,11,108,April,0.06837627768263678,0.18809786650016205,0.2324,Peak,375.5418835778514
2580,12,108,April,0.09932325179068978,0.21793095017095385,0.2324,Peak,377.18252090235046
2581,13,108,April,0.07126836988107374,0.2455582625529935,0.2324,Peak,372.424672661303
2582,14,108,April,0.06868474575603126,0.18039787445246167,0.2324,Peak,377.18252090235046
2583,15,108,April,0.0628625677200136,0.1552741511769953,0.2324,Peak,388.0107272440448
2584,16,108,April,0.05861707875637105,0.10492508500946207,0.2324,Peak,403.9249092916864
2585,17,108,April,0.05831951518178729,0.05272604215015753,0.2324,Peak,425.9094494399748
2586,18,108,April,0.09648596146788993,0.014457330509759678,0.2324,Peak,448.2221170531629
2587,19,108,April,0.1312461200543663,0.0,0.2324,Peak,460.8550244518063
2588,20,108,April,0.058175734699286434,0.0,0.2324,Peak,463.3159804385549
2589,21,108,April,0.05655793222562011,0.0,0.2324,Peak,458.23000473260765
2590,22,108,April,0.04081693162079511,0.0,0.2324,Peak,450.19088184256185
2591,23,108,April,0.03289389254502209,0.0,0.2187,Off-Peak,427.22195929957405
2592,0,109,April,0.02936176654434252,0.0,0.2187,Off-Peak,396.54204133144026
2593,1,109,April,0.02542356988107373,0.0,0.2187,Off-Peak,363.40116737655785
2594,2,109,April,0.02655518750254842,0.0,0.2187,Off-Peak,345.35415680706734
2595,3,109,April,0.026561824240570846,0.0,0.2187,Off-Peak,331.5728032812746
2596,4,109,April,0.025894743662928984,0.0,0.2187,Off-Peak,327.143082505127
2597,5,109,April,0.030314631756710838,0.012676219220704922,0.2187,Off-Peak,327.79933743492666
2598,6,109,April,0.07099368691131501,0.07456489170108224,0.2324,Peak,334.5259504653731
2599,7,109,April,0.07023745897383622,0.09689358222712724,0.2324,Peak,366.02618709575637
2600,8,109,April,0.09284394496772,0.1915611354497904,0.2324,Peak,380.62785928379867
2601,9,109,April,0.07158372112130479,0.24657672014284074,0.2324,Peak,382.10443287584786
2602,10,109,April,0.07069144178049608,0.2813960385468806,0.2324,Peak,376.69032970500086
2603,11,109,April,0.06924377472646959,0.2911498065462312,0.2324,Peak,375.5418835778514
2604,12,109,April,0.1003052089840299,0.281646096805016,0.2324,Peak,377.18252090235046
2605,13,109,April,0.07144707250424738,0.13892223950699906,0.2324,Peak,372.424672661303
2606,14,109,April,0.07118901173632347,0.07902600852261497,0.2324,Peak,377.18252090235046
2607,15,109,April,0.06400369577302073,0.06415332363461237,0.2324,Peak,388.0107272440448
2608,16,109,April,0.06028881387020048,0.04167401421068179,0.2324,Peak,403.9249092916864
2609,17,109,April,0.057807063975535165,0.02279922758034774,0.2324,Peak,425.9094494399748
2610,18,109,April,0.09832278176690454,0.004817119486266168,0.2324,Peak,448.2221170531629
2611,19,109,April,0.13320168879374789,0.0,0.2324,Peak,460.8550244518063
2612,20,109,April,0.058071580081549425,0.0,0.2324,Peak,463.3159804385549
2613,21,109,April,0.05662458185524975,0.0,0.2324,Peak,458.23000473260765
2614,22,109,April,0.03954359917770982,0.0,0.2324,Peak,450.19088184256185
2615,23,109,April,0.03250469343527014,0.0,0.2187,Off-Peak,427.22195929957405
2616,0,110,April,0.029283954549779136,0.0,0.2187,Off-Peak,396.54204133144026
2617,1,110,April,0.02529961985049269,0.0,0.2187,Off-Peak,363.40116737655785
2618,2,110,April,0.025477614475025487,0.0,0.2187,Off-Peak,345.35415680706734
2619,3,110,April,0.026311382099898063,0.0,0.2187,Off-Peak,331.5728032812746
2620,4,110,April,0.02635791014610941,0.0,0.2187,Off-Peak,327.143082505127
2621,5,110,April,0.029518645538566094,0.005989517503398902,0.2187,Off-Peak,327.79933743492666
2622,6,110,April,0.05814939768943255,0.06759126588656897,0.2324,Peak,334.5259504653731
2623,7,110,April,0.06373710727828746,0.09967165759219597,0.2324,Peak,366.02618709575637
2624,8,110,April,0.08124553418960245,0.20129870405604672,0.2324,Peak,380.62785928379867
2625,9,110,April,0.05508619198776759,0.22289208950118586,0.2324,Peak,382.10443287584786
2626,10,110,April,0.04956187297315665,0.271769157892708,0.2324,Peak,376.69032970500086
2627,11,110,April,0.053863716989466535,0.2584832122116983,0.2324,Peak,375.5418835778514
2628,12,110,April,0.0937011055861366,0.27199423567411857,0.2324,Peak,377.18252090235046
2629,13,110,April,0.061508790458715615,0.25414255200339203,0.2324,Peak,372.424672661303
2630,14,110,April,0.047293339599048585,0.20937814754928907,0.2324,Peak,377.18252090235046
2631,15,110,April,0.045668587550118926,0.15985490811260536,0.2324,Peak,388.0107272440448
2632,16,110,April,0.04600017946992865,0.10368946683781154,0.2324,Peak,403.9249092916864
2633,17,110,April,0.05384182171253823,0.05360633870529253,0.2324,Peak,425.9094494399748
2634,18,110,April,0.09136014033978934,0.012283769136769944,0.2324,Peak,448.2221170531629
2635,19,110,April,0.12640386402310566,0.0,0.2324,Peak,460.8550244518063
2636,20,110,April,0.058036921325178376,0.0,0.2324,Peak,463.3159804385549
2637,21,110,April,0.05678859132178049,0.0,0.2324,Peak,458.23000473260765
2638,22,110,April,0.041062641012572204,0.0,0.2324,Peak,450.19088184256185
2639,23,110,April,0.03336701308868502,0.0,0.2187,Off-Peak,427.22195929957405
2640,0,111,April,0.034135128549099565,0.0,0.2187,Off-Peak,396.54204133144026
2641,1,111,April,0.029786600088345223,0.0,0.2187,Off-Peak,363.40116737655785
2642,2,111,April,0.029841942133877,0.0,0.2187,Off-Peak,345.35415680706734
2643,3,111,April,0.03053065143730887,0.0,0.2187,Off-Peak,331.5728032812746
2644,4,111,April,0.03058210318722392,0.0,0.2187,Off-Peak,327.143082505127
2645,5,111,April,0.035010031858647636,0.012554381584375513,0.2187,Off-Peak,327.79933743492666
2646,6,111,April,0.06659217778457358,0.05922312839615554,0.2324,Peak,334.5259504653731
2647,7,111,April,0.04475653645939517,0.1185774850306354,0.2324,Peak,366.02618709575637
2648,8,111,April,0.0593786884811417,0.14971679583518982,0.2324,Peak,380.62785928379867
2649,9,111,April,0.029470864294937137,0.20020040058680288,0.2324,Peak,382.10443287584786
2650,10,111,April,0.022685985946313283,0.2647160827472276,0.2324,Peak,376.69032970500086
2651,11,111,April,0.02280037039075773,0.2842488317558463,0.2324,Peak,375.5418835778514
2652,12,111,April,0.05562087289840298,0.27554053061194944,0.2324,Peak,377.18252090235046
2653,13,111,April,0.027086323622154268,0.2516676959463659,0.2324,Peak,372.424672661303
2654,14,111,April,0.021435975705062862,0.20838425964022886,0.2324,Peak,377.18252090235046
2655,15,111,April,0.021221355732246008,0.16048952363173224,0.2324,Peak,388.0107272440448
2656,16,111,April,0.02050535863404689,0.10695407749841232,0.2324,Peak,403.9249092916864
2657,17,111,April,0.02998416543662929,0.055436508666955285,0.2324,Peak,425.9094494399748
2658,18,111,April,0.0649336516275909,0.017613058656896056,0.2324,Peak,448.2221170531629
2659,19,111,April,0.10078039485558954,0.0,0.2324,Peak,460.8550244518063
2660,20,111,April,0.04995379229357798,0.0,0.2324,Peak,463.3159804385549
2661,21,111,April,0.04250711940197079,0.0,0.2324,Peak,458.23000473260765
2662,22,111,April,0.03659681789330615,0.0,0.2324,Peak,450.19088184256185
2663,23,111,April,0.03405291795446823,0.0,0.2187,Off-Peak,427.22195929957405
2664,0,112,April,0.02911052176010873,0.0,0.2187,Off-Peak,396.54204133144026
2665,1,112,April,0.025401398831124702,0.0,0.2187,Off-Peak,363.40116737655785
2666,2,112,April,0.026504270397553518,0.0,0.2187,Off-Peak,345.35415680706734
2667,3,112,April,0.02650774545701665,0.0,0.2187,Off-Peak,331.5728032812746
2668,4,112,April,0.02585130407747196,0.0,0.2187,Off-Peak,327.143082505127
2669,5,112,April,0.0296392129459735,0.017083967736555725,0.2187,Off-Peak,327.79933743492666
2670,6,112,April,0.0599015580767924,0.07929824883898287,0.2324,Peak,334.5259504653731
2671,7,112,April,0.06819214292898403,0.145615094357199,0.2324,Peak,366.02618709575637
2672,8,112,April,0.09168695341488277,0.20834165179981834,0.2324,Peak,380.62785928379867
2673,9,112,April,0.07097698053007134,0.24864765548599216,0.2324,Peak,382.10443287584786
2674,10,112,April,0.07039885269452938,0.2779090501592572,0.2324,Peak,376.69032970500086
2675,11,112,April,0.06973179640502887,0.2843973257764498,0.2324,Peak,375.5418835778514
2676,12,112,April,0.10068538844036698,0.2752662075740349,0.2324,Peak,377.18252090235046
2677,13,112,April,0.07235310721712539,0.24837530135628416,0.2324,Peak,372.424672661303
2678,14,112,April,0.0707576282772681,0.20310320683706898,0.2324,Peak,377.18252090235046
2679,15,112,April,0.06364688396873938,0.11944615324154367,0.2324,Peak,388.0107272440448
2680,16,112,April,0.058003537077811765,0.03765146287031476,0.2324,Peak,403.9249092916864
2681,17,112,April,0.05842389196738022,0.032101644663924234,0.2324,Peak,425.9094494399748
2682,18,112,April,0.09669827978253484,0.007132938799617942,0.2324,Peak,448.2221170531629
2683,19,112,April,0.1275012184165817,0.0,0.2324,Peak,460.8550244518063
2684,20,112,April,0.05931179662249405,0.0,0.2324,Peak,463.3159804385549
2685,21,112,April,0.056233113013931364,0.0,0.2324,Peak,458.23000473260765
2686,22,112,April,0.04007245290519878,0.0,0.2324,Peak,450.19088184256185
2687,23,112,April,0.03301675343527013,0.0,0.2187,Off-Peak,427.22195929957405
2688,0,113,April,0.029468571783893987,0.0,0.2187,Off-Peak,396.54204133144026
2689,1,113,April,0.02540498480462113,0.0,0.2187,Off-Peak,363.40116737655785
2690,2,113,April,0.02648245712538226,0.0,0.2187,Off-Peak,345.35415680706734
2691,3,113,April,0.02649110570846076,0.0,0.2187,Off-Peak,331.5728032812746
2692,4,113,April,0.02583172477743799,0.0,0.2187,Off-Peak,327.143082505127
2693,5,113,April,0.03057454183486238,0.015137268697355016,0.2187,Off-Peak,327.79933743492666
2694,6,113,April,0.06370423363234795,0.016406809506319533,0.2324,Peak,334.5259504653731
2695,7,113,April,0.06890871753992525,0.06767263366401319,0.2324,Peak,366.02618709575637
2696,8,113,April,0.09233785977573904,0.13386354980876108,0.2324,Peak,380.62785928379867
2697,9,113,April,0.07184579479442743,0.15949303001147294,0.2324,Peak,382.10443287584786
2698,10,113,April,0.07057065841658171,0.14944022218031935,0.2324,Peak,376.69032970500086
2699,11,113,April,0.07058268178049609,0.18036309852797947,0.2324,Peak,375.5418835778514
2700,12,113,April,0.10415602082229017,0.1445985581780901,0.2324,Peak,377.18252090235046
2701,13,113,April,0.07287702854230378,0.13766247931582487,0.2324,Peak,372.424672661303
2702,14,113,April,0.07085262950730548,0.12224432793030658,0.2324,Peak,377.18252090235046
2703,15,113,April,0.06370704979272851,0.08362122610749477,0.2324,Peak,388.0107272440448
2704,16,113,April,0.058902064580360174,0.04259728787219408,0.2324,Peak,403.9249092916864
2705,17,113,April,0.058962840754332314,0.019179815692388642,0.2324,Peak,425.9094494399748
2706,18,113,April,0.09720487484199798,0.007212974478343659,0.2324,Peak,448.2221170531629
2707,19,113,April,0.12952380182127082,0.0,0.2324,Peak,460.8550244518063
2708,20,113,April,0.05714386373088685,0.0,0.2324,Peak,463.3159804385549
2709,21,113,April,0.05548193844376487,0.0,0.2324,Peak,458.23000473260765
2710,22,113,April,0.040356529989806315,0.0,0.2324,Peak,450.19088184256185
2711,23,113,April,0.03268754513761468,0.0,0.2187,Off-Peak,427.22195929957405
2712,0,114,April,0.029501711831464494,0.0,0.2187,Off-Peak,396.54204133144026
2713,1,114,April,0.025405972313965342,0.0,0.2187,Off-Peak,363.40116737655785
2714,2,114,April,0.026509925552157663,0.0,0.2187,Off-Peak,345.35415680706734
2715,3,114,April,0.026515260468909282,0.0,0.2187,Off-Peak,331.5728032812746
2716,4,114,April,0.02588827221202854,0.0,0.2187,Off-Peak,327.143082505127
2717,5,114,April,0.03019749777777778,0.004906203188032064,0.2187,Off-Peak,327.79933743492666
2718,6,114,April,0.05999442892966361,0.06469090217888765,0.2324,Peak,334.5259504653731
2719,7,114,April,0.0681309313149847,0.14699374138716062,0.2324,Peak,366.02618709575637
2720,8,114,April,0.09248518950730547,0.20616716781622188,0.2324,Peak,380.62785928379867
2721,9,114,April,0.07198137440027183,0.246115654128327,0.2324,Peak,382.10443287584786
2722,10,114,April,0.06969767209650016,0.24876713029865954,0.2324,Peak,376.69032970500086
2723,11,114,April,0.06859404415222561,0.27278160871790824,0.2324,Peak,375.5418835778514
2724,12,114,April,0.09454027351681957,0.09360738131037978,0.2324,Peak,377.18252090235046
2725,13,114,April,0.07071108908596671,0.229377586852099,0.2324,Peak,372.424672661303
2726,14,114,April,0.06993502817533129,0.2065421790907673,0.2324,Peak,377.18252090235046
2727,15,114,April,0.06344186648318043,0.08788477803232712,0.2324,Peak,388.0107272440448
2728,16,114,April,0.058326018307849135,0.10990632157173284,0.2324,Peak,403.9249092916864
2729,17,114,April,0.05779841487597689,0.060691265933219364,0.2324,Peak,425.9094494399748
2730,18,114,April,0.0973986206184166,0.020580402404050645,0.2324,Peak,448.2221170531629
2731,19,114,April,0.1303220867618077,0.0,0.2324,Peak,460.8550244518063
2732,20,114,April,0.059416845361875636,0.0,0.2324,Peak,463.3159804385549
2733,21,114,April,0.05604532881413524,0.0,0.2324,Peak,458.23000473260765
